Scr_port,Des_port,Protocol,Service,Duration,Scr_bytes,Des_bytes,Conn_state,missed_bytes,is_syn_only,Is_SYN_ACK,is_pure_ack,is_with_payload,FIN or RST,Bad_checksum,is_SYN_with_RST,Scr_pkts,Scr_ip_bytes,Des_pkts,Des_ip_bytes,total_bytes,total_packet,paket_rate,byte_rate,Scr_packts_ratio,Des_pkts_ratio,Scr_bytes_ratio,Des_bytes_ratio,Avg_user_time,Std_user_time,Avg_nice_time,Std_nice_time,Avg_system_time,Std_system_time,Avg_iowait_time,Std_iowait_time,Avg_ideal_time,Std_ideal_time,Avg_tps,Std_tps,Avg_rtps,Std_rtps,Avg_wtps,Std_wtps,Avg_ldavg_1,Std_ldavg_1,Avg_kbmemused,Std_kbmemused,Avg_num_Proc/s,Std_num_proc/s,Avg_num_cswch/s,std_num_cswch/s,OSSEC_alert,OSSEC_alert_level,Login_attempt,Succesful_login,File_activity,Process_activity,read_write_physical.process,is_privileged,Attack_label,Derived_Attack_Class
58193.0,1880.0,2,16,0.003195,322.0,212.0,1,0.0,True,True,True,True,True,False,False,6.0,642.0,4.0,428.0,1604.0,10.0,3129.890454,502034.4288,0.6,0.4,0.600997506,0.399002494,5.149,6.16153463,7.486,2.969872725,3.842,1.411189569,0.127,0.127047235,83.392,9.76716315,4.8,3.919183588,1.3,2.83019434,3.5,1.204159458,0.49,0.02,914750.4,2194.585483,1.6,1.854723699,1873.1,301.5869526,0,0,0,0,0,0,0,0,1,mqtt_iot
37472.0,80.0,2,4,0.471647,154.0,739.0,1,0.0,True,True,True,True,True,False,False,6.0,474.0,4.0,955.0,2322.0,10.0,21.20229748,4923.173475,0.6,0.4,0.270456503,0.729543497,7.344,5.981475069,2.26,1.435555642,2.518,1.564562559,3.924,10.86106275,83.956,12.52120138,11.0,16.1925909,0.0,0.0,11.0,16.1925909,0.521,0.092244241,913726.4,2285.615681,1.1,0.53853505,1516.054,345.691396,0,0,1,1,1,1,0,1,1,auth_privilege
41156.0,80.0,2,4,0.207272,139.0,310.0,1,0.0,True,True,True,True,True,False,False,6.0,459.0,5.0,578.0,1486.0,11.0,53.07036165,7169.323401,0.545454545,0.454545455,0.402422611,0.597577389,7.004,5.61845388,6.324,1.527770925,5.355,1.305766059,1.522,3.304859452,79.799,7.822376174,6.1,5.682429058,0.1,0.3,6.0,5.54977477,0.841,0.039610605,919470.4,2365.963449,0.8,0.4,2782.4,485.1150791,0,0,0,0,0,0,0,0,1,web_access
44541.0,53.0,3,2,0.000173,82.0,82.0,1,0.0,False,False,False,True,False,False,False,2.0,138.0,2.0,138.0,440.0,4.0,23121.38728,2543352.601,0.5,0.5,0.5,0.5,5.077,4.020209074,2.727,1.463967554,2.422,1.202113139,0.681,0.49098778,89.092,5.015645123,22.9,20.72896524,18.6,19.78484268,4.3,2.1,0.76,0.03,914227.2,2700.844194,1.0,0.632455532,1785.3,269.5793204,0,0,0,0,0,0,0,0,1,dns
52998.0,53.0,3,2,0.002799,156.0,156.0,1,0.0,False,False,False,True,False,False,False,4.0,268.0,4.0,268.0,848.0,8.0,2858.16363,302965.3448,0.5,0.5,0.5,0.5,7.888,6.927443684,2.475,1.264588866,3.341,1.457981138,0.1,0.122474487,86.194,8.39519291,5.6,6.575712889,0.2,0.6,5.4,6.560487787,0.452,0.025612497,910900.0,2903.767484,2.4,3.583294573,1574.8,485.8993311,0,0,0,0,0,0,0,0,1,dns
52698.0,25.0,2,14,14.749083,35.0,102.0,0,0.0,True,True,True,True,True,False,False,11.0,615.0,7.0,462.0,1214.0,18.0,1.220414856,82.31020193,0.611111111,0.388888889,0.535420099,0.464579901,3.799,6.400731911,1.98,1.68597153,2.132,1.895277288,0.279,0.238639896,91.81,9.835880235,15.0,5.54977477,5.4,5.986651819,9.6,1.2,0.941,0.049081565,917064.4,1633.415514,1.6,1.8,1267.1,227.1340793,0,0,0,0,0,0,0,0,1,other_attack
53445.0,53.0,3,2,8.2e-05,41.0,41.0,1,0.0,False,False,False,True,False,False,False,1.0,69.0,1.0,69.0,220.0,2.0,24390.2439,2682926.829,0.5,0.5,0.5,0.5,10.285,7.103285507,2.145,1.304831407,2.376,1.374868721,0.858,0.822530243,84.334,8.683785119,29.5,32.64123159,19.9,33.16157415,9.6,1.8,0.278,0.014,914492.4,1925.632945,1.0,0.632455532,1803.0,370.5933081,0,0,0,0,0,0,0,0,1,dns
57488.0,25.0,2,14,27.630398,35.0,102.0,0,0.0,True,True,True,True,True,False,False,11.0,615.0,7.0,462.0,1214.0,18.0,0.651456414,43.93711593,0.611111111,0.388888889,0.535420099,0.464579901,7.68,8.983637348,1.823,1.443412969,3.138,2.318511592,0.456,1.044425201,86.903,13.41192607,22.8,50.37221456,19.7,50.40843183,3.1,0.3,0.582,0.022271057,916179.6,2326.099877,1.2,1.077032961,1248.2,347.9183237,0,0,0,0,0,0,0,0,1,other_attack
32888.0,25.0,2,14,1.319758,568.0,182.0,1,0.0,True,True,True,True,True,False,False,13.0,1283.0,11.0,762.0,2795.0,24.0,18.18515213,2117.812508,0.541666667,0.458333333,0.662254025,0.337745975,2.129,3.786094162,2.35,1.14074537,1.922,1.085244673,10.625,10.96194349,82.975,13.77595822,15.4,20.8719908,0.5,1.204159458,14.9,20.78196333,0.695,0.055,908218.8,2261.670922,0.6,1.8,1362.5,422.6701433,0,0,0,0,0,0,0,0,1,other_attack
52185.0,80.0,2,4,0.048546,628.0,693.0,1,0.0,True,True,True,True,True,False,False,7.0,1000.0,5.0,961.0,3282.0,12.0,247.1882338,67605.98196,0.583333333,0.416666667,0.496039001,0.503960999,3.105,3.130639711,3.792,1.912641106,3.317,2.058455975,2.986,7.366307352,86.8,10.98241868,35.2,35.70378131,25.1,34.88681699,10.1,1.757839583,0.605,0.025,912284.0,1568.056121,0.8,0.748331477,1591.3,246.5660358,1,5,0,0,0,0,0,0,1,web_access
